x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
12,23,149.195,150,24.6053,173.96,37.9818,244.251,22.706,254.89
12,24,145.587,149.866,22.1936,138.742,34.8837,222.483,37.374,252.161
12,25,139.206,147.27,20.2032,117.443,32.1557,193.383,48.9512,237.181
12,26,127.163,136.548,17.3711,93.0151,27.8733,154.339,54.4058,201.371
12,27,108.521,117.229,13.8503,67.6498,22.3586,112.977,50.1695,152.812
12,28,86.2391,92.9636,10.3301,46.3283,16.7681,77.7842,38.5562,105.299
12,29,64.3847,69.3723,7.3182,30.5362,11.9488,51.6055,25.6463,67.5258
13,0,2.41362,-2.40644,0.207552,0.184454,0.294018,0.48222,4.10667,4.1106
13,1,7.59475,-7.58269,0.645692,0.598668,0.947106,1.54592,12.8995,12.9017
13,2,16.9202,-16.9049,1.44805,1.33494,2.11335,3.44214,28.766,28.7657
13,3,32.4418,-32.1971,2.75353,2.54483,4.02637,6.56506,55.1491,55.1511
13,4,55.8004,-54.56,4.71346,4.33227,6.86076,11.1903,94.8534,94.8574
13,5,87.8578,-84.5662,7.35711,6.73715,10.6537,17.3883,149.357,149.356
13,6,121.352,-116.188,10.0874,9.15696,14.4428,23.5687,206.297,206.296
13,7,142.442,-137.159,11.8026,10.5997,16.6538,27.1664,242.152,242.134
13,8,148.861,-145.189,12.6281,11.1836,17.5302,28.5384,253.065,253.052
13,9,149.882,-146.561,13.6488,11.8848,18.7405,30.5501,254.799,254.796
13,10,149.961,-145.831,14.4507,12.7134,20.2096,32.8747,254.959,254.976
13,11,149.933,-142.043,14.3863,13.2344,21.1918,34.481,254.898,254.986
13,12,149.75,-127.071,14.1013,13.88,21.5082,36.0019,254.378,254.944
13,13,149.091,-85.9241,14.0857,15.9083,21.6712,40.3346,252.56,254.785
13,14,147.639,-16.3457,14.5253,21.4584,22.4033,52.3756,248.087,254.458
13,15,145.706,58.1792,15.2433,31.9385,23.8356,76.2585,240.917,254.119
13,16,144.428,112.827,15.7844,46.7196,25.4558,115.058,233.495,254.07
13,17,145.575,141.247,15.8535,58.6438,26.4994,167.715,232.745,254.401
13,18,148.955,149.518,15.7238,46.4346,26.4005,220.797,246.176,254.914
13,19,150,150,16,14.0002,26,255,255,255
13,20,149.666,149.991,14.8653,135.311,27.41,155.671,235.049,254.981
13,21,149.157,149.988,19.4258,187.816,33.1073,171.626,133.455,254.902
13,22,149.364,149.999,24.9797,208.281,39.0633,228.836,41.7758,254.827
13,23,148.466,149.991,24.1555,185.286,37.7748,228.286,39.2753,253.693
13,24,145.855,149.698,21.9897,151.279,34.8322,209.018,50.835,245.641
13,25,141.078,146.952,19.5938,119.762,31.3615,177.115,59.2584,220.424
13,26,131.908,138.18,16.6632,88.5488,26.8789,136.986,59.9092,177.682
13,27,117.646,123.366,13.5364,61.8171,21.9847,99.267,52.484,130.675
13,28,99.2786,103.734,10.5803,42.12,17.2887,69.7308,40.3047,89.9362
13,29,78.8356,82.3067,7.95767,28.4198,13.0737,48.2667,27.9459,59.1859
14,0,2.03331,-2.02256,0.171277,0.163494,0.250757,0.40836,3.44874,3.45061
14,1,6.45986,-6.45077,0.551124,0.52035,0.811691,1.32126,10.9804,10.9845
14,2,14.4671,-14.4473,1.24482,1.14456,1.82094,2.96313,24.5932,24.598
14,3,27.5794,-27.2131,2.35759,2.17991,3.45327,5.63266,46.8883,46.8894
14,4,46.9123,-45.0791,3.99517,3.69138,5.84296,9.52784,79.756,79.7554
14,5,73.7561,-68.514,6.25514,5.75969,9.12201,14.8795,125.387,125.387
14,6,104.567,-94.4176,8.86989,8.11992,12.8583,20.964,177.762,177.763
14,7,130.123,-114.592,11.1211,10.0954,15.9989,26.1416,221.208,221.155
14,8,143.733,-126.017,12.4995,11.252,17.8452,29.0936,244.345,244.268
14,9,148.522,-127.521,13.3101,11.9128,18.9703,31.1866,252.488,252.441
14,10,149.593,-120.733,13.7572,12.6396,19.8437,32.6772,254.404,254.431
14,11,149.747,-103.132,13.889,13.1746,20.4886,34.1193,254.584,254.795
14,12,149.599,-66.5645,13.977,14.3105,20.9834,36.6004,253.844,254.723
14,13,149.22,-8.79099,14.3791,16.5622,21.6659,41.3847,252.529,254.481
14,14,148.688,55.6958,15.2843,20.978,22.9249,50.6955,250.365,254.192
14,15,148.186,105.174,16.3228,28.3472,24.5929,66.2158,247.604,253.984
14,16,147.907,132.528,16.7228,40.3735,26.0304,91.522,244.563,253.94
14,17,148.166,144.896,16.2127,59.3303,26.7725,132.303,242.584,254.09
14,18,149.2,149.314,15.3599,79.8099,26.7393,174.185,246.089,254.635
14,19,149.869,149.973,14.2017,131.89,26.6639,149.508,251.419,254.949
14,20,150,150,12,255,27,42.0002,255,255
14,21,149.617,149.984,14.4842,217.336,28.7281,94.3107,218.354,254.697
14,22,148.556,149.979,19.4336,189.551,33.1215,165.557,127.512,252.566
14,23,147.435,149.902,20.9599,169.248,34.1593,187.65,87.0996,245.705
14,24,145.659,149.288,19.9652,139.703,32.2898,175.27,77.2201,225.25
14,25,142.479,146.597,17.7542,104.33,28.7708,143.369,71.2277,185.439
14,26,136.914,140.619,15.1452,71.4938,24.6766,106.467,61.1209,136.713
14,27,128.476,131.62,12.7851,47.7378,20.9737,76.7872,49.1571,95.2856
14,28,115.917,118.352,10.7373,33.0064,17.7113,56.6116,37.9168,66.1499
14,29,98.2364,100.287,8.75173,23.7352,14.5003,42.5591,28.2766,46.4452
15,0,1.61451,-1.60739,0.136779,0.129958,0.203159,0.322424,2.74474,2.74316
15,1,5.22399,-5.21318,0.448215,0.419245,0.664211,1.07422,8.87403,8.87278
15,2,11.7819,-11.7507,1.02004,0.938434,1.48678,2.42723,20.026,20.024
15,3,22.41,-21.888,1.92489,1.78733,2.8357,4.61039,38.0912,38.0974
15,4,37.8754,-35.298,3.24219,3.00918,4.76842,7.77092,64.3817,64.3805
15,5,59.7219,-52.0614,5.09231,4.72195,7.4943,12.2128,101.519,101.521
15,6,86.8608,-70.3069,7.42031,6.85428,10.8882,17.7444,147.66,147.658
15,7,113.871,-83.5008,9.80781,9.00565,14.3654,23.5312,193.58,193.477
15,8,133.399,-89.696,11.5919,10.6027,16.9586,27.7114,226.779,226.552
15,9,143.961,-83.2445,12.6576,11.547,18.5616,30.9498,244.736,244.513
15,10,148.043,-61.8236,13.1546,12.599,19.444,32.5487,251.824,251.691
15,11,149.317,-25.1145,13.3851,13.0939,19.979,33.8599,253.824,253.904
15,12,149.583,24.4152,13.7282,14.1405,20.5774,36.1661,253.752,254.305
15,13,149.566,75.1112,14.5797,15.6755,21.621,39.6746,253.415,254.284
15,14,149.515,114.28,16.2388,18.1688,23.4497,45.3576,252.933,254.222
15,15,149.524,136.677,18.1014,21.3988,25.6204,52.4964,252.578,254.227
15,16,149.556,145.521,18.5409,26.3226,27.0376,61.3429,252.129,254.237
15,17,149.492,148.16,17.2703,40.6821,27.4974,79.0213,250.489,254.014
15,18,149.423,149.2,15.6912,81.5969,27.3647,106.499,247.412,253.719
15,19,149.612,149.789,14.1048,155.978,27.2,103.416,246.412,254.001
15,20,149.772,149.95,13.1265,212.949,27.2968,75.5098,245.905,254.286
15,21,149.323,149.908,14.3833,201.814,28.3034,93.6736,221.889,252.117
15,22,148.282,149.877,16.8908,173.187,30.1234,129.609,169.855,243.381
15,23,147.261,149.688,18.0593,144.989,30.4592,143.967,127.359,223.247
15,24,146.192,148.946,17.2964,111.521,28.5433,130.74,99.1156,185.339
15,25,144.791,147.172,15.3448,75.3216,25.2145,100.882,74.0886,133.024
15,26,143.082,144.75,13.3318,46.1222,22.0043,71.1782,52.0437,84.6477
15,27,140.494,141.689,11.9286,29.1696,19.8112,52.1238,37.6452,54.2646
15,28,134.547,135.457,10.9291,21.4164,18.2098,42.3999,30.1499,39.5118
15,29,121.359,122.268,9.7406,17.6695,16.2566,36.4073,25.7267,32.1377
16,0,1.23053,-1.21476,0.105787,0.095814,0.151034,0.249805,2.08362,2.08064
16,1,4.0336,-4.02659,0.347292,0.32647,0.514973,0.841261,6.85226,6.85606
16,2,9.20669,-9.16514,0.792803,0.745015,1.17477,1.9042,15.6424,15.6464
16,3,17.5702,-16.8749,1.51199,1.41018,2.23148,3.6365,29.8695,29.8681
16,4,29.7109,-26.321,2.55071,2.37271,3.76861,6.1338,50.5101,50.5095
16,5,47.3061,-37.0607,4.02981,3.76203,5.97519,9.74438,80.4196,80.4157
16,6,70.7578,-47.3528,6.03038,5.60494,8.93666,14.5609,120.285,120.287
16,7,97.3494,-50.7265,8.3475,7.72421,12.3873,20.3568,165.491,165.337
16,8,120.597,-45.5821,10.3555,9.55689,15.3983,25.245,205.013,204.587
16,9,136.863,-24.8419,11.757,10.8272,17.5607,29.6364,232.673,232.136
16,10,145.391,13.0791,12.4733,12.22,18.7615,31.6869,247.288,246.775
16,11,148.755,59.7068,12.784,12.5436,19.3376,32.7438,252.84,252.563
16,12,149.681,100.892,13.1911,13.0696,19.9315,34.132,254.126,254.121
16,13,149.854,127.135,14.2865,13.8726,21.1397,36.3865,254.394,254.422
16,14,149.89,141.222,16.8305,15.3535,23.5718,40.5509,254.426,254.47
16,15,149.943,148.073,20.3787,16.554,26.6384,44.7031,254.626,254.647
16,16,149.982,149.761,21.1247,16.5124,28.0112,46.3092,254.834,254.841
16,17,149.973,149.879,17.407,18.1267,28.4661,50.5824,254.665,254.711
16,18,149.846,149.706,16.1607,38.5817,28.143,62.4127,252.529,253.257
16,19,149.556,149.561,15.2472,96.2873,27.5627,80.5241,245.752,249.576
16,20,149.312,149.617,14.6707,144.034,27.5086,87.2318,235.924,245.375
16,21,148.908,149.625,15.0832,151.539,27.8367,95.3901,217,236.621
16,22,148.317,149.682,15.9138,134.86,28.0318,105.798,185.539,217.237
16,23,147.781,149.522,16.0532,108.391,27.2032,105.63,147.758,183.052
