x,y,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
9,25,1,1,0.980028,0.950642,0.34174,0.349113,0.994221,0.0979967
9,26,1,1,0.977499,0.970704,0.433542,0.39425,0.997799,0.77166
9,27,1,1,0.981555,0.976661,0.46302,0.397463,0.999795,0.977942
9,28,1,1,0.985761,0.970462,0.457671,0.410009,0.999994,0.999166
9,29,1,1,0.984049,0.951898,0.425205,0.460883,0.999999,0.999922
10,0,0.0075,0.0071,0.0042,0.004,0.0059,0.0001,0.0034,0.0081
10,1,0.0058,0.0004,0.0057,0.0019,0.0055,0.0023,0.0055,0.0029
10,2,0.0081,0.0098,0.0049,0.0029,0.0013,0.0086,0.0019,0.0053
10,3,0.0012,0.0041,0.0049,0.0056,0.0089,0.0018,0.0037,0.0063
10,4,0.00894554,0.00794579,0.000534363,0.00476961,0.00813866,0.00414673,0.00294703,0.00335141
10,5,0.0107767,0.0149494,0.00851379,0.0118771,0.00713457,0.00739886,0.0088891,0.00223804
10,6,0.0215054,0.0279687,0.0120802,0.00926076,0.0262776,0.0244433,0.0275769,-0.0136712
10,7,0.056235,0.0507187,0.0269728,0.0238828,0.0517269,0.0549986,0.0519551,-0.0467242
10,8,0.106478,0.10585,0.0591637,0.0396205,0.10624,0.11138,0.107735,-0.101454
10,9,0.206352,0.200431,0.105774,0.0813924,0.192573,0.202453,0.206112,-0.198111
10,10,0.359788,0.365235,0.192616,0.138311,0.343674,0.358051,0.361711,-0.358506
10,11,0.597621,0.599154,0.327494,0.232303,0.552907,0.577536,0.59995,-0.593492
10,12,0.82709,0.827368,0.446551,0.312051,0.77381,0.804997,0.825125,-0.823997
10,13,0.959831,0.959778,0.508047,0.350944,0.912108,0.944392,0.957998,-0.957312
