x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
4,7,119.744,125.3,9.51624,10.2745,15.7924,27.6883,35.1415,26.5247
4,8,140.206,143.235,10.745,10.7586,17.9192,30.2391,32.9114,23.0396
4,9,147.83,149.087,11.0771,10.553,18.5497,30.5946,28.4001,19.244
4,10,149.219,149.872,11.1292,10.4725,18.634,30.5391,29.4442,18.1152
4,11,149.103,149.908,11.3576,11.0527,18.8142,31.065,51.0754,20.3598
4,12,148.912,149.881,11.9872,12.4203,19.3172,32.3004,109.953,26.0033
4,13,149.243,149.931,12.8168,13.6635,20.07,33.5667,182.582,30.6418
4,14,149.673,149.99,13.5476,14.2575,20.9702,34.7374,228.171,32.957
4,15,149.875,149.999,14.406,14.8533,22.3256,36.6851,246.109,38.2355
4,16,149.952,150,15.6734,15.909,24.5096,40.0377,252.146,50.3357
4,17,149.988,150,17.0519,17.1271,27.1003,44.048,254.319,64.4807
4,18,149.959,149.982,16.2572,16.388,25.5326,41.6518,254.052,77.6732
4,19,149.682,149.64,15.1621,15.338,23.54,38.6128,253.413,111.591
4,20,148.243,147.752,13.9785,14.1942,21.5168,35.5302,250.77,149.659
4,21,143.804,142.332,12.8588,13.1614,19.6744,32.73,243.599,173.33
4,22,134.437,131.373,11.6592,12.0997,17.7667,29.7976,227.57,176.629
4,23,118.529,113.459,10.1373,10.7287,15.4057,25.9975,200.615,161.768
4,24,96.6485,89.836,8.22188,8.75013,12.4786,21.1086,163.777,133.959
4,25,71.9713,64.2729,6.12287,6.61881,9.27112,15.2944,122.205,100.173
4,26,47.0024,39.3419,3.9972,3.70378,6.04402,9.88778,79.9039,68.3746
4,27,25.826,19.007,2.16652,1.99135,3.24238,5.3139,43.9046,42.2637
4,28,13.9183,8.57298,1.14817,1.04703,1.71107,2.80445,23.6617,23.6543
4,29,7.0239,3.46626,0.559766,0.517938,0.842611,1.37753,11.9364,11.9395
5,0,1.12726,3.74627,0.28363,0.266864,0.465051,0.74447,0.396919,2.92208
5,1,3.62277,7.51793,0.571993,0.524355,0.928907,1.50722,0.800531,4.6846
5,2,7.79331,13.7239,1.05016,0.976382,1.71989,3.19646,1.53026,7.86934
5,3,14.7575,23.0065,1.79804,2.29762,2.9442,5.94219,2.52932,12.2088
5,4,27.1868,38.0119,2.97689,3.75738,4.90694,10.9615,6.60524,19.8
5,5,49.1824,62.0955,4.87147,7.13914,8.01592,16.9116,18.9207,28.6019
5,6,78.0146,91.5702,7.18271,9.60573,11.8064,23.4559,33.7184,35.855
5,7,106.078,118.164,9.18092,11.3873,15.1383,28.6371,41.4482,38.3605
5,8,128.15,137.032,10.537,12.1472,17.4388,31.5498,43.6876,35.6295
5,9,140.185,145.987,11.1311,12.1822,18.4785,32.3785,43.8357,31.0325
5,10,144.599,148.715,11.3835,12.3849,18.861,32.7115,50.6752,29.7049
5,11,145.827,149.404,11.7433,13.4449,19.2317,33.7203,76.248,34.0709
5,12,146.653,149.677,12.403,15.1734,19.8704,35.3039,126.652,42.9244
5,13,147.837,149.829,13.2237,16.4534,20.7249,36.5656,183.979,51.3164
5,14,148.917,149.941,14.0417,16.8043,21.766,37.5012,223.554,57.8023
5,15,149.535,149.981,14.9319,16.823,23.1491,38.9353,242.829,65.9367
5,16,149.819,149.992,15.8891,16.9418,24.7973,40.99,250.676,76.5354
5,17,149.92,149.993,16.4111,16.9504,25.7326,42.1919,253.296,89.1163
5,18,149.928,149.968,15.8661,16.2172,24.7101,40.5466,253.853,117.692
5,19,149.867,149.821,14.6529,14.8196,22.6129,37.2223,253.999,161.805
5,20,149.599,149.27,13.4806,13.4787,20.6834,34.139,253.681,198.769
5,21,148.445,147.527,12.667,12.5998,19.328,31.997,252.015,218.353
5,22,144.843,142.56,12.0477,12.0567,18.2902,30.4239,245.782,221.252
5,23,135.412,130.474,11.1927,11.4202,16.9467,28.3488,229.658,207.99
5,24,116.931,108.441,9.69367,10.0301,14.6674,24.6442,198.376,178.112
5,25,90.7726,79.4026,7.57249,8.02205,11.4528,18.8784,154.17,136.59
5,26,61.5947,49.1508,5.16818,4.78412,7.79451,12.7698,104.714,94.472
5,27,35.6815,24.0651,2.97115,2.73337,4.44815,7.29022,60.6581,59.1013
5,28,19.7651,10.37,1.62456,1.49155,2.43773,3.98554,33.592,33.5957
5,29,10.2267,3.6564,0.813264,0.762216,1.23203,2.01584,17.3866,17.3857
6,0,0.445431,3.99646,0.308495,0.291749,0.492432,0.788772,0.426936,3.87483
